Code input,Phénomène dangereux,Valeur,Critique
E1,Vague de froid,,
E2,Brulure du soleil,,
E3,Vent violent,,
E4,Grêle,,
E5,Glissement de terrain,,
E6,Pollution des sols par substance très dangereuse,,
E7,Composition de sol atypique,,
E8,Manque d'infiltration,,
E9,Pollution eau,,
E10,Innondation,,
E11,Incendie,,
E12,Stress hydrique,,
E13,Manque polénisation,,
E14,Maladie (perte de biodiversité),,
E17,Gros ravageurs,,
E18,Perte de surface exploitable,,
E19,Bonus résilience env,,
G1,Eviction,,
G2,Perte de savoir faire,,
G3,Manque d'adaptation rapide à un enviornement changeant,,
G4,Manque de main d'œuvre permante qualifiée,,
G5,Perte de compétitivité,,
G8,Perte d'autonomie,,
S1,Perte de renomé ,,
S2,Non possibilité d'export,,
S3,Absence de clients suffisants,,
S4,Difficulté d'appro en carburant,,
S5,Difficulté d'appro en produit phyto-sanitaire,,
S6,Dépendance fournisseurs d'intrants,,
S7,Accident au travail,,
S8,Manque d'employé,,
S11,Manque d'égalité,,
